Username,Dialogue
D:,i think 🤔 people are less informed and jump into new things wayyy too soon
,
A:,"but, fractionalization will keep the NFT market moving"
A:,they open more opportunities for small investors to empower themselves
,
B:,I have to agree with @A here
B:,"the market is still experimenting a lot, but how will we learn if we don’t try new things?"
B:,shared NFTs are a security threat no doubt
B:,"but maybe if more people move towards them, we will have a solution for the security issues"
,
D:,yes @B but that needs time bro
D:,"RN, we’re not even sure the kind of rights F-NFT investor owns"
D:,it is so new .. the guidelines are so vague ..
,
B:,"@D yes, you’re right we should be careful atm"
,
A:,I agree too! Being careful is must .. but there’s no harm in exploring without putting too much at risk 😆 😉
,
D:,"I hope that issues pertaining to intellectual property rights, rights of publication and other complications get resolved"
D:,because shared NFTs can only be secure if these things are taken care of
,
B:,tbh I find this idea quite amazing
,
C:,but guys! How do fractionalized nfts get their value?
C:,"though, i love the concept but there are a few reservations"
,
D:,that is the point man!!
D:,the core thing from which nfts derive their value are being compromised in shared NFTs
,
A:,did you hear what happened with the DOGE meme nft?
A:,"when it was broken into different parts, the value skyrocketed"
A:,from $4 mn to $220 mn 🤯🤯🤯
,
B:,it’s a bit complicated
B:,but all the problems will work out
B:,I still feel shared NFTs will improve the market
,
C:,they will add liquidity to the market
C:,helping NFT community to grow 👌
,
D:,I got to know through Twitter that an nft metaverse game NFT duel is also being launched by the company
D:,Does anyone have more info about it?
,
B:,NFT Duel is a trading card game that makes use of NFTs and Metaverse to give an exceptional P2E experience to the users
B:,It is still under development and will be released earlier next year
,
D:,That's so cool! I'ma huge fan of GameFi
D:,It is the future of gaming .. and a golden chance for us gamers to earn money through gameplay
,
C:,How are NFT games different? I mean you can earn money through traditional games too 🤔
,
D:,@C There's a huge difference between the two
D:,"In traditional gaming, only the company owners get to make most of the money"
D:,"On the other hand, the NFTs are your assets in NFT based games"
D:,You can sell your NFTs at a higher price if their demand increases and earn a revenue against them
,
C:,Wow! That's interesting
,
A:,Play-to-earn is the future of gaming
A:,NFTs are going to be the economic foundation of future metaverses
A:,"How to play the game, though?"
,
B:,"It's a TCG where one can buy, sell, and play with the cards"
B:,"In simple words, it provides multiple opportunities for entertainment and to earn money"
B:,The most exciting part is that ULTRAMAN NFTs will also be soon available in NFT Duel 😄😄😄
,
A:,@B That's the best thing I've heard so far 😂
,
C:,But how do NFTs get their value within the game?
C:,I mean how are some NFTs more expensive than the other?
,
B:,"If the card is used in a successful strategy multiple times, the players will automatically feel that it's worthy"
B:,The demand of the card will increase and this will cause a hike in its value.
,
A:,I'm sure the Ultraman cards are going to have the most demand 😎
,
D:,@A yeah the fan following is crazy for the anime
,
C:,You guys are so enthusiastic about the NFT n Metaverse phenomenon
C:,This group is so informational
,
A:,😎
,
D: ,Thanks bro @C
,
A:,From where we will be able to buy the NFT card used in NFT duel?
,
B:,All the NFTs will be available on XANALIA
B:,It's the best NFT marketplace for metaverse
,
A:,What kind collections are available on Xanalia?
,
B:,XANALIA has a wide range of collections
B:,"From anime to GIFs, you will find the most amazing NFTs on the platform"
,
C:,Do they have any other famous collection apart from ultraman?
,
B:,"Yes, they had Monkey King earlier this year and are about to launch Underground City."
,
D:,I like such kind of unqiue collections.
D:,I wish more marketplaces launch avatars that can be used in the metaverse.
,
C:,Life in the metaverse is going to be the next big thing
,
A:,How can we purchase an NFT through Xanalia?
,
B:,XANALIA has two selling methods.
B:,You can either buy the NFT at a fixed price or take part in an auction.
,
D:,How does the auction process work?
,
B:,"If you wish to buy an NFT, you bid for it. "
B:,"If your bid is the highest, you will buy it. But if someone else made the highest bid, your money will return to your wallet."
,
C:,When can we bid?
,
B:,It depends on the bidding time set by the seller.
,
C:,What happens if there is no auction?
,
B:,@C It's simple then. The seller sets a fixed price at which the buyer makes the purchase.
,
A:,I'm thinking of adding a new NFT to my collection.
A:,Can anyone suggest a good option from Xanalia?
,
B:,XANALIA has many good NFTs.
B:,You can check out the collection by Yukinori Tokoro.
,
C:,Oh wow!
C:,I'm a huge fan of Tokoro. Just love his photographs
,
A:,Sounds awesome
A:,I really like the way he plays with the concept of time
A:,I will definitely add one of his NFTs to my personal collection.
